Federate,Localize,Target
"[0.8970392, 0.95003194, 1.0585724, -3.1697772, 0.33070743, 0.15937024]","[-0.6910726, -0.77748257, 1.6556304, -0.87664616, 1.7264622, -0.8746888]",0
"[-1.0769866, -0.23525824, -1.1404269, 0.72080886, 1.7566528, 0.81308043]","[-0.46720946, -1.7717896, 1.4782046, -0.60901237, 0.47988605, 1.1355562]",0
"[-1.0465653, -0.6812412, -0.57741344, 0.5267731, 1.506249, 1.0667781]","[-0.44343415, -0.51348674, -0.44813192, -0.5805884, 2.610542, -0.5777358]",0
"[-1.1060622, -0.39288428, -0.62397414, 0.057984117, 1.9857218, 0.89585733]","[-1.3109313, -0.4722492, -0.40114477, 0.9257865, -0.39397517, 1.8801157]",0
"[0.6747087, 0.45632744, 2.1535583, -0.59856033, -2.7012577, 0.434937]","[-0.017060438, -0.058949575, 0.06977965, -0.07084837, 0.06833777, -0.066454336]",0
"[0.6386562, 0.261622, 1.9201082, -2.9430642, -0.4351554, 0.7062072]","[-0.6910726, -0.77748257, 1.6556344, -0.87664616, 1.7264584, -0.8746888]",0
"[0.04740687, 0.34940654, 1.7504748, -2.3472457, -1.2508055, 1.289802]","[-0.44348103, -0.5135367, -0.44818884, -0.5806444, 2.6108212, -0.577792]",0
"[-0.09884044, 0.26103896, 1.6415374, -1.9665152, -1.4683839, 1.4400684]","[-0.4794028, -0.55183125, 1.8307091, -1.5000253, 1.4191413, -0.6208672]",0
"[0.46246484, 0.73867756, 2.3143904, -2.0943966, -1.8017838, 0.5706158]","[-0.8424225, -0.1655665, 1.3864163, -1.0575886, 1.8477141, -1.0561785]",0
"[0.8422954, 1.0949098, 1.168621, -1.9648298, -2.2745428, 0.8401359]","[-0.6910724, -0.77748233, 1.6556119, -0.87664586, 1.7264798, -0.8746885]",0
"[0.5890088, 0.8573595, 1.7316191, -0.9616368, -2.7947676, 0.66040885]","[-0.6707794, -0.75584894, 1.1670753, -0.8523851, 2.1092868, -0.8503544]",0
"[0.21679665, -0.64563954, 1.9957988, -1.3231784, -1.3031266, 1.284032]","[-0.44343182, -0.5134843, -0.4481291, -0.58058566, -0.4401003, 2.4899392]",1
